15:58:58 selenium.webdriver.remote.remote_connection DEBUG    DELETE http://localhost:55149/session/b8da667a-dcb3-4669-af10-db62a7581d00 {}
15:58:59 urllib3.connectionpool DEBUG    http://localhost:55149 "DELETE /session/b8da667a-dcb3-4669-af10-db62a7581d00 HTTP/11" 200 0
15:58:59 selenium.webdriver.remote.remote_connection DEBUG    Remote response: status=200 | data={"value":null} | headers=HTTPHeaderDict({'content-type': 'application/json; charset=utf-8', 'cache-control': 'no-cache', 'content-length': '14', 'date': 'Sun, 28 Jul 2024 19:58:58 GMT'})
15:58:59 selenium.webdriver.remote.remote_connection DEBUG    Finished Request
15:58:59 root         INFO     <h2 class="vehicle-card-title mt-0 d-block mb-0 justify-content-between align-items-end h5 inv-type-new" data-style-editor-price="true"><a href="/new/Honda/2024-Honda-Civic-9d419ad7ac1843b5c8339b1b49c35e5b.htm"><span class="ddc-font-size-small"></span>2024 Honda Civic Sport</a></h2>
15:58:59 root         INFO     None
15:58:59 root         INFO     None
15:58:59 root         INFO     <h2 class="vehicle-card-title mt-0 d-block mb-0 justify-content-between align-items-end h5 inv-type-new" data-style-editor-price="true"><a href="/new/Honda/2024-Honda-Civic-646f1eabac18131e600ca7ba6979e6ac.htm"><span class="ddc-font-size-small"></span>2024 Honda Civic LX</a></h2>
15:58:59 root         INFO     None
15:58:59 root         INFO     None
15:58:59 root         INFO     <h2 class="vehicle-card-title mt-0 d-block mb-0 justify-content-between align-items-end h5 inv-type-new" data-style-editor-price="true"><a href="/new/Honda/2024-Honda-Civic-774d049fac181f8b00632ebe3c20510c.htm"><span class="ddc-font-size-small"></span>2024 Honda Civic LX</a></h2>
15:58:59 root         INFO     None
15:58:59 root         INFO     None
15:58:59 root         INFO     <h2 class="vehicle-card-title mt-0 d-block mb-0 justify-content-between align-items-end h5 inv-type-new" data-style-editor-price="true"><a href="/new/Honda/2024-Honda-Civic-78fd020cac18131e600ca7ba358978a7.htm"><span class="ddc-font-size-small"></span>2024 Honda Civic LX</a></h2>
15:58:59 root         INFO     None
15:58:59 root         INFO     None
15:58:59 root         INFO     <h2 class="vehicle-card-title mt-0 d-block mb-0 justify-content-between align-items-end h5 inv-type-new" data-style-editor-price="true"><a href="/new/Honda/2024-Honda-Civic-e5a768edac183ef6ff31dd2ad193f9a2.htm"><span class="ddc-font-size-small"></span>2024 Honda Civic LX</a></h2>
15:58:59 root         INFO     None
15:58:59 root         INFO     None
