16:10:09 selenium.webdriver.remote.remote_connection DEBUG    DELETE http://localhost:58161/session/71095a11-5fc8-4b3a-8c1c-ea2c8de3676d {}
16:10:10 urllib3.connectionpool DEBUG    http://localhost:58161 "DELETE /session/71095a11-5fc8-4b3a-8c1c-ea2c8de3676d HTTP/11" 200 0
16:10:10 selenium.webdriver.remote.remote_connection DEBUG    Remote response: status=200 | data={"value":null} | headers=HTTPHeaderDict({'content-type': 'application/json; charset=utf-8', 'cache-control': 'no-cache', 'content-length': '14', 'date': 'Sun, 28 Jul 2024 20:10:08 GMT'})
16:10:10 selenium.webdriver.remote.remote_connection DEBUG    Finished Request
16:10:10 root         INFO     2024 Honda Civic Sport
16:10:10 root         INFO     $27,900
16:10:10 root         INFO     <li class="normalized-swatch-container exteriorColor"><span class="normalized-swatch normalized-swatch-gray"></span>Sonic Gray Pearl Exterior</li>
16:10:10 root         INFO     2024 Honda Civic LX
16:10:10 root         INFO     $26,500
16:10:10 root         INFO     <li class="normalized-swatch-container exteriorColor"><span class="normalized-swatch normalized-swatch-white"></span>Platinum White Pearl Exterior</li>
16:10:10 root         INFO     2024 Honda Civic LX
16:10:10 root         INFO     $26,500
16:10:10 root         INFO     <li class="normalized-swatch-container exteriorColor"><span class="normalized-swatch normalized-swatch-white"></span>Platinum White Pearl Exterior</li>
16:10:10 root         INFO     2024 Honda Civic LX
16:10:10 root         INFO     $26,500
16:10:10 root         INFO     <li class="normalized-swatch-container exteriorColor"><span class="normalized-swatch normalized-swatch-white"></span>Platinum White Pearl Exterior</li>
16:10:10 root         INFO     2024 Honda Civic LX
16:10:10 root         INFO     $26,500
16:10:10 root         INFO     <li class="normalized-swatch-container exteriorColor"><span class="normalized-swatch normalized-swatch-white"></span>Platinum White Pearl Exterior</li>
16:10:10 root         INFO     2024 Honda Civic Sport
16:10:10 root         INFO     $26,645
16:10:10 root         INFO     <li class="normalized-swatch-container exteriorColor"><span class="normalized-swatch normalized-swatch-gray"></span>Meteorite Gray Metallic Exterior</li>
16:10:10 root         INFO     2024 Honda Civic Sport
16:10:10 root         INFO     $26,645
16:10:10 root         INFO     <li class="normalized-swatch-container exteriorColor"><span class="normalized-swatch normalized-swatch-red"></span>Rallye Red Exterior</li>
16:10:10 root         INFO     2024 Honda Civic Sport
16:10:10 root         INFO     $27,100
16:10:10 root         INFO     <li class="normalized-swatch-container exteriorColor"><span class="normalized-swatch normalized-swatch-white"></span>Platinum White Pearl Exterior</li>
16:10:10 root         INFO     2024 Honda Civic Sport
16:10:10 root         INFO     $27,445
16:10:10 root         INFO     <li class="normalized-swatch-container exteriorColor"><span class="normalized-swatch normalized-swatch-black"></span>Crystal Black Pearl Exterior</li>
16:10:10 root         INFO     2024 Honda Civic Sport
16:10:10 root         INFO     $27,900
16:10:10 root         INFO     <li class="normalized-swatch-container exteriorColor"><span class="normalized-swatch normalized-swatch-gray"></span>Sonic Gray Pearl Exterior</li>
16:10:10 root         INFO     2024 Honda Civic Sport
16:10:10 root         INFO     $27,900
16:10:10 root         INFO     <li class="normalized-swatch-container exteriorColor"><span class="normalized-swatch normalized-swatch-white"></span>Platinum White Pearl Exterior</li>
16:10:10 root         INFO     2024 Honda Civic Sport
16:10:10 root         INFO     $27,900
16:10:10 root         INFO     <li class="normalized-swatch-container exteriorColor"><span class="normalized-swatch normalized-swatch-blue"></span>Boost Blue Pearl Exterior</li>
16:10:10 root         INFO     2024 Honda Civic Sport
16:10:10 root         INFO     $27,900
16:10:10 root         INFO     <li class="normalized-swatch-container exteriorColor"><span class="normalized-swatch normalized-swatch-blue"></span>Boost Blue Pearl Exterior</li>
16:10:10 root         INFO     2024 Honda Civic Sport
16:10:10 root         INFO     $27,900
16:10:10 root         INFO     <li class="normalized-swatch-container exteriorColor"><span class="normalized-swatch normalized-swatch-gray"></span>Sonic Gray Pearl Exterior</li>
16:10:10 root         INFO     2024 Honda Civic Sport
16:10:10 root         INFO     $27,900
16:10:10 root         INFO     <li class="normalized-swatch-container exteriorColor"><span class="normalized-swatch normalized-swatch-blue"></span>Boost Blue Pearl Exterior</li>
16:10:10 root         INFO     2024 Honda Civic EX
16:10:10 root         INFO     $28,045
16:10:10 root         INFO     <li class="normalized-swatch-container exteriorColor"><span class="normalized-swatch normalized-swatch-blue"></span>Aegean Blue Metallic Exterior</li>
16:10:10 root         INFO     2024 Honda Civic EX
16:10:10 root         INFO     $28,045
16:10:10 root         INFO     <li class="normalized-swatch-container exteriorColor"><span class="normalized-swatch normalized-swatch-black"></span>Crystal Black Pearl Exterior</li>
16:10:10 root         INFO     2024 Honda Civic EX
16:10:10 root         INFO     $28,500
16:10:10 root         INFO     <li class="normalized-swatch-container exteriorColor"><span class="normalized-swatch normalized-swatch-gray"></span>Sonic Gray Pearl Exterior</li>
16:10:10 root         INFO     ***********************FINISHED
